gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,1,1280,8192,torch.int8,ck,34,0,20.5611,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,1.02,510.5,0.0
gfx942,80,1,8192,1024,torch.int8,ck,78,0,9.1327,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,1.84,920.43,0.0
gfx942,80,32,1280,8192,torch.int8,ck,34,0,19.9841,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,33.58,541.92,0.0
gfx942,80,32,8192,1024,torch.int8,ck,28,0,9.9382,a8w8_rowwise_256x32x128x256_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8x8x1_1x1_intrawave_v3,54.02,900.13,0.0
gfx942,80,64,1280,8192,torch.int8,ck,34,0,19.6589,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,68.27,568.39,0.0
gfx942,80,64,8192,1024,torch.int8,ck,21,0,13.6554,a8w8_rowwise_256x64x128x256_32x32_1x2_16x16x1_16x16x1_1x32x1x8_8x8x1_1x1_intrawave_v3,78.63,695.89,0.0
gfx942,80,128,1280,8192,torch.int8,ck,30,0,23.3376,a8w8_rowwise_256x32x64x512_16x16_1x2_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v3,115.02,508.28,0.0
gfx942,80,128,8192,1024,torch.int8,ck,45,0,20.3684,a8w8_rowwise_256x128x64x128_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,105.43,521.24,0.0
gfx942,80,192,1280,8192,torch.int8,ck,23,0,33.0028,a8w8_rowwise_256x64x64x512_32x32_1x1_32x8x1_32x8x1_1x32x1x8_8x8x1_1x1_intrawave_v3,122.01,380.28,0.0
gfx942,80,192,8192,1024,torch.int8,ck,47,0,26.1312,a8w8_rowwise_256x64x64x128_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,123.27,448.92,0.0
gfx942,80,256,1280,8192,torch.int8,ck,23,0,33.3204,a8w8_rowwise_256x64x64x512_32x32_1x1_32x8x1_32x8x1_1x32x1x8_8x8x1_1x1_intrawave_v3,161.12,397.3,0.0
gfx942,80,256,8192,1024,torch.int8,ck,13,0,29.7436,a8w8_rowwise_256x128x128x128_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,144.4,431.86,0.0
gfx942,80,320,1280,8192,torch.int8,ck,21,0,54.4822,a8w8_rowwise_256x64x128x256_32x32_1x2_16x16x1_16x16x1_1x32x1x8_8x8x1_1x1_intrawave_v3,123.18,255.61,0.0
gfx942,80,320,8192,1024,torch.int8,ck,47,0,39.6412,a8w8_rowwise_256x64x64x128_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,135.43,352.14,0.0
gfx942,80,512,1280,8192,torch.int8,ck,21,0,55.0378,a8w8_rowwise_256x64x128x256_32x32_1x2_16x16x1_16x16x1_1x32x1x8_8x8x1_1x1_intrawave_v3,195.09,290.54,0.0
gfx942,80,512,8192,1024,torch.int8,ck,13,0,52.947,a8w8_rowwise_256x128x128x128_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,162.24,326.77,0.0
gfx942,80,1024,1280,8192,torch.int8,ck,13,0,88.6516,a8w8_rowwise_256x128x128x128_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,242.24,242.48,0.0
gfx942,80,1024,8192,1024,torch.int8,ck,13,0,90.2628,a8w8_rowwise_256x128x128x128_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,190.33,290.42,0.0
gfx942,80,2048,1280,8192,torch.int8,ck,13,0,140.7575,a8w8_rowwise_256x128x128x128_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,305.13,230.94,0.0
